,student_id,student_name_x,email_x,phone_x,course,admission_date,admission_status,total_fee,paid_fee,payment_status
1464,STU-2464,Deepa Patel,deepa.37@mail.com,9643805485,B.Tech,2024-08-01 00:00:00,Waitlisted,87146,113438,Partially Paid
1465,STU-2465,Divya Nair,divya.44@mail.com,9572016789,MBA,2024-08-01 01:00:00,Rejected,138061,126900,Pending
1466,STU-2466,Neha Gupta,neha.71@mail.com,9827129973,MCA,2024-08-01 02:00:00,Waitlisted,103321,50989,Partially Paid
1467,STU-2467,Manish Patel,manish.48@mail.com,9167174513,MCA,2024-08-01 03:00:00,Admitted,159657,112495,Pending
1468,STU-2468,Sanjay Sharma,sanjay.16@mail.com,9581704440,BCA,2024-08-01 04:00:00,Rejected,109768,19257,Pending
1469,STU-2469,Rohit Singh,rohit.93@mail.com,9905764666,MCA,2024-08-01 05:00:00,Waitlisted,196746,98505,Paid
1470,STU-2470,Manish Patel,manish.39@mail.com,9410557158,BCA,2024-08-01 06:00:00,Rejected,121290,89156,Partially Paid
1471,STU-2471,Meena Patel,meena.13@mail.com,9995333280,MBA,2024-08-01 07:00:00,Waitlisted,155422,152774,Partially Paid
1472,STU-2472,Divya Gupta,divya.55@mail.com,9920536025,BBA,2024-08-01 08:00:00,Waitlisted,80747,77951,Paid
1473,STU-2473,Kiran Gupta,kiran.91@mail.com,9878484026,B.Tech,2024-08-01 09:00:00,Rejected,174629,133337,Partially Paid
1474,STU-2474,Neha Nair,neha.68@mail.com,9602404414,BCA,2024-08-01 10:00:00,Waitlisted,111535,161433,Pending
1475,STU-2475,Karthik Das,karthik.60@mail.com,9364798573,BBA,2024-08-01 11:00:00,Waitlisted,131352,171589,Pending
1476,STU-2476,Amit Verma,amit.83@mail.com,9661919890,BCA,2024-08-01 12:00:00,Admitted,152591,131770,Paid
1477,STU-2477,Karthik Nair,karthik.93@mail.com,9309695702,BCA,2024-08-01 13:00:00,Rejected,187910,167313,Pending
1478,STU-2478,Meena Gupta,meena.40@mail.com,9927547137,BCA,2024-08-01 14:00:00,Admitted,184103,39729,Paid
1479,STU-2479,Neha Reddy,neha.60@mail.com,9204570390,MBA,2024-08-01 15:00:00,Waitlisted,79424,149585,Partially Paid
1480,STU-2480,Pooja Verma,pooja.71@mail.com,9406341712,MCA,2024-08-01 16:00:00,Admitted,75878,168895,Pending
1481,STU-2481,Sanjay Gupta,sanjay.23@mail.com,9162817636,MCA,2024-08-01 17:00:00,Admitted,92492,107725,Pending
1482,STU-2482,Deepa Singh,deepa.20@mail.com,9176507141,BBA,2024-08-01 18:00:00,Waitlisted,139466,12817,Partially Paid
1483,STU-2483,Rakesh Das,rakesh.91@mail.com,9999066655,MBA,2024-08-01 19:00:00,Rejected,72715,162145,Pending
1484,STU-2484,Pooja Singh,pooja.30@mail.com,9156094694,BCA,2024-08-01 20:00:00,Rejected,186893,74407,Pending
1485,STU-2485,Arjun Singh,arjun.68@mail.com,9355114914,MCA,2024-08-01 21:00:00,Waitlisted,167613,54443,Paid
1486,STU-2486,Pooja Das,pooja.14@mail.com,9712476784,BCA,2024-08-01 22:00:00,Admitted,125515,136146,Pending
1487,STU-2487,Rajesh Sharma,rajesh.93@mail.com,9919028481,BBA,2024-08-01 23:00:00,Waitlisted,67543,118135,Pending
1488,STU-2488,Vivek Reddy,vivek.39@mail.com,9749546927,MBA,2024-08-02 00:00:00,Rejected,172208,84340,Paid
1489,STU-2489,Vivek Iyer,vivek.28@mail.com,9829848770,BBA,2024-08-02 01:00:00,Waitlisted,126240,67432,Paid
1490,STU-2490,Rohit Sharma,rohit.23@mail.com,9767773793,BBA,2024-08-02 02:00:00,Waitlisted,157040,76603,Pending
1491,STU-2491,Rajesh Choudhary,rajesh.25@mail.com,9952748146,B.Tech,2024-08-02 03:00:00,Rejected,143594,73530,Partially Paid
1492,STU-2492,Olivia Thomas,olivia.21@mail.com,9811765335,MBA,2024-08-02 04:00:00,Rejected,86437,29428,Paid
1493,STU-2493,Olivia Moore,olivia.46@mail.com,9478688010,MBA,2024-08-02 05:00:00,Admitted,101277,101394,Paid
1494,STU-2494,Sneha Verma,sneha.54@mail.com,9281225617,B.Tech,2024-08-02 06:00:00,Rejected,63947,48556,Pending
1495,STU-2495,Vivek Gupta,vivek.36@mail.com,9334391791,B.Tech,2024-08-02 07:00:00,Waitlisted,195993,150045,Pending
1496,STU-2496,Divya Gupta,divya.17@mail.com,9600110228,B.Tech,2024-08-02 08:00:00,Admitted,107825,125509,Partially Paid
1497,STU-2497,Manish Iyer,manish.42@mail.com,9712252038,BBA,2024-08-02 09:00:00,Rejected,75091,133932,Paid
1498,STU-2498,Meena Singh,meena.23@mail.com,9133245414,MCA,2024-08-02 10:00:00,Rejected,169830,143675,Partially Paid
1499,STU-2499,Rohit Gupta,rohit.88@mail.com,9473610113,MCA,2024-08-02 11:00:00,Waitlisted,140264,70141,Pending
1500,STU-2500,Divya Nair,divya.58@mail.com,9208283914,BBA,2024-08-02 12:00:00,Admitted,64954,174356,Pending
1501,STU-2501,Rajesh Nair,rajesh.88@mail.com,9399399499,MBA,2024-08-02 13:00:00,Admitted,170355,153029,Paid
1502,STU-2502,Karthik Choudhary,karthik.73@mail.com,9214821051,MBA,2024-08-02 14:00:00,Admitted,123761,99302,Partially Paid
1503,STU-2503,Nisha Choudhary,nisha.87@mail.com,9546803984,B.Tech,2024-08-02 15:00:00,Rejected,74795,32244,Partially Paid
1504,STU-2504,Sanjay Patel,sanjay.12@mail.com,9429541157,MBA,2024-08-02 16:00:00,Admitted,189431,76178,Partially Paid
1505,STU-2505,Vivek Choudhary,vivek.77@mail.com,9310839953,BCA,2024-08-02 17:00:00,Waitlisted,110067,15789,Partially Paid
1506,STU-2506,Sneha Das,sneha.60@mail.com,9387013392,BBA,2024-08-02 18:00:00,Waitlisted,92804,175271,Paid
1507,STU-2507,Sanjay Reddy,sanjay.83@mail.com,9381280847,MCA,2024-08-02 19:00:00,Admitted,165369,113272,Partially Paid
1508,STU-2508,Arjun Reddy,arjun.59@mail.com,9566526800,BCA,2024-08-02 20:00:00,Waitlisted,69230,42680,Partially Paid
1509,STU-2509,Sanjay Reddy,sanjay.83@mail.com,9586212520,BCA,2024-08-02 21:00:00,Rejected,175316,159571,Pending
1510,STU-2510,Michael Jones,michael.30@mail.com,9955761365,B.Tech,2024-08-02 22:00:00,Waitlisted,60986,156509,Partially Paid
1511,STU-2511,Kiran Das,kiran.90@mail.com,9362759160,MBA,2024-08-02 23:00:00,Admitted,153665,92807,Partially Paid
1512,STU-2512,Sneha Nair,sneha.46@mail.com,9341991819,MBA,2024-08-03 00:00:00,Rejected,179575,92878,Partially Paid
1513,STU-2513,Amit Iyer,amit.32@mail.com,9852283285,BCA,2024-08-03 01:00:00,Waitlisted,131784,26026,Paid
1514,STU-2514,Vivek Reddy,vivek.64@mail.com,9619276373,BBA,2024-08-03 02:00:00,Admitted,117372,61631,Pending
1515,STU-2515,Rahul Gupta,rahul.82@mail.com,9795256372,MBA,2024-08-03 03:00:00,Admitted,68720,91809,Paid
1516,STU-2516,Sanjay Gupta,sanjay.99@mail.com,9171873707,BCA,2024-08-03 04:00:00,Waitlisted,179795,170876,Partially Paid
1517,STU-2517,Rajesh Patel,rajesh.37@mail.com,9642355952,BCA,2024-08-03 05:00:00,Admitted,91585,65802,Paid
1518,STU-2518,Pooja Gupta,pooja.47@mail.com,9605531326,MCA,2024-08-03 06:00:00,Rejected,191742,67045,Paid
1519,STU-2519,Kiran Choudhary,kiran.51@mail.com,9750405321,B.Tech,2024-08-03 07:00:00,Rejected,164333,167525,Paid
1520,STU-2520,Sophia Brown,sophia.23@mail.com,9913213923,MBA,2024-08-03 08:00:00,Rejected,129475,16839,Partially Paid
1521,STU-2521,Pooja Choudhary,pooja.12@mail.com,9652069163,MCA,2024-08-03 09:00:00,Waitlisted,62372,155101,Paid
1522,STU-2522,Manish Iyer,manish.48@mail.com,9570647802,MCA,2024-08-03 10:00:00,Waitlisted,145655,106308,Pending
1523,STU-2523,Arjun Reddy,arjun.91@mail.com,9214816704,BBA,2024-08-03 11:00:00,Waitlisted,120361,154096,Paid
1524,STU-2524,Manish Iyer,manish.26@mail.com,9273557319,B.Tech,2024-08-03 12:00:00,Waitlisted,151719,68032,Partially Paid
1525,STU-2525,Karthik Das,karthik.87@mail.com,9797582762,BCA,2024-08-03 13:00:00,Rejected,84883,45879,Paid
1526,STU-2526,Sneha Sharma,sneha.95@mail.com,9515276511,B.Tech,2024-08-03 14:00:00,Waitlisted,124839,179557,Pending
1527,STU-2527,Rahul Das,rahul.77@mail.com,9572254807,MBA,2024-08-03 15:00:00,Rejected,180327,142896,Paid
1528,STU-2528,Kiran Iyer,kiran.95@mail.com,9336296305,MBA,2024-08-03 16:00:00,Waitlisted,77499,16720,Pending
1529,STU-2529,Nisha Nair,nisha.53@mail.com,9372078067,MCA,2024-08-03 17:00:00,Waitlisted,94110,55185,Partially Paid
1530,STU-2530,Michael Smith,michael.79@mail.com,9418933789,BCA,2024-08-03 18:00:00,Waitlisted,121249,16400,Partially Paid
1531,STU-2531,Rohit Singh,rohit.77@mail.com,9986491345,MCA,2024-08-03 19:00:00,Rejected,170396,162909,Paid
1532,STU-2532,Rahul Reddy,rahul.58@mail.com,9503006152,B.Tech,2024-08-03 20:00:00,Waitlisted,114481,19491,Paid
1533,STU-2533,Rajesh Singh,rajesh.78@mail.com,9169033338,MBA,2024-08-03 21:00:00,Waitlisted,125163,134223,Paid
1534,STU-2534,Anita Reddy,anita.64@mail.com,9214984226,MCA,2024-08-03 22:00:00,Rejected,196509,127465,Pending
1535,STU-2535,Rakesh Das,rakesh.68@mail.com,9709524514,BBA,2024-08-03 23:00:00,Rejected,91710,129117,Partially Paid
1536,STU-2536,Olivia Thomas,olivia.62@mail.com,9485890504,BBA,2024-08-04 00:00:00,Rejected,168758,112952,Partially Paid
1537,STU-2537,Karthik Gupta,karthik.24@mail.com,9188151307,MBA,2024-08-04 01:00:00,Admitted,138727,78810,Pending
1538,STU-2538,Rahul Sharma,rahul.76@mail.com,9465858502,BBA,2024-08-04 02:00:00,Admitted,68741,157331,Pending
1539,STU-2539,Kiran Choudhary,kiran.48@mail.com,9893537826,BCA,2024-08-04 03:00:00,Admitted,68515,41503,Paid
1540,STU-2540,Pooja Singh,pooja.48@mail.com,9272797971,BCA,2024-08-04 04:00:00,Admitted,108066,104721,Paid
1541,STU-2541,Olivia Anderson,olivia.49@mail.com,9922140549,BCA,2024-08-04 05:00:00,Waitlisted,145624,178149,Partially Paid
1542,STU-2542,Divya Gupta,divya.42@mail.com,9789611688,MBA,2024-08-04 06:00:00,Waitlisted,119265,77781,Pending
1543,STU-2543,Karthik Das,karthik.49@mail.com,9670965525,BCA,2024-08-04 07:00:00,Rejected,80502,70865,Partially Paid
1544,STU-2544,Priya Iyer,priya.48@mail.com,9513535143,B.Tech,2024-08-04 08:00:00,Rejected,131330,125022,Pending
1545,STU-2545,Rakesh Das,rakesh.45@mail.com,9789112176,B.Tech,2024-08-04 09:00:00,Admitted,92579,149049,Pending
1546,STU-2546,Rakesh Verma,rakesh.21@mail.com,9842469705,BBA,2024-08-04 10:00:00,Rejected,169888,119088,Partially Paid
1547,STU-2547,Rahul Singh,rahul.70@mail.com,9870357378,MBA,2024-08-04 11:00:00,Waitlisted,144763,43669,Pending
1548,STU-2548,Amit Verma,amit.69@mail.com,9202915513,MBA,2024-08-04 12:00:00,Waitlisted,87681,142791,Pending
1549,STU-2549,Rajesh Gupta,rajesh.66@mail.com,9321795661,BBA,2024-08-04 13:00:00,Rejected,174394,139096,Partially Paid
1550,STU-2550,Manish Choudhary,manish.17@mail.com,9852377008,BBA,2024-08-04 14:00:00,Admitted,69521,55898,Partially Paid
1551,STU-2551,Pooja Iyer,pooja.62@mail.com,9742389130,MBA,2024-08-04 15:00:00,Rejected,137495,103353,Pending
1552,STU-2552,Meena Choudhary,meena.84@mail.com,9930148991,MCA,2024-08-04 16:00:00,Rejected,120272,84535,Paid
1553,STU-2553,Emma Anderson,emma.67@mail.com,9338684556,MBA,2024-08-04 17:00:00,Waitlisted,102295,117856,Paid
1554,STU-2554,Kiran Iyer,kiran.55@mail.com,9348272946,B.Tech,2024-08-04 18:00:00,Rejected,125704,147079,Paid
1555,STU-2555,Divya Iyer,divya.58@mail.com,9567874471,BBA,2024-08-04 19:00:00,Waitlisted,143378,32679,Pending
1556,STU-2556,Amit Nair,amit.22@mail.com,9941899939,MCA,2024-08-04 20:00:00,Admitted,105486,161809,Partially Paid
1557,STU-2557,Emily Anderson,emily.99@mail.com,9699793286,BBA,2024-08-04 21:00:00,Admitted,174851,22689,Paid
1558,STU-2558,Sophia Brown,sophia.23@mail.com,9375725195,MCA,2024-08-04 22:00:00,Waitlisted,136065,89877,Paid
1559,STU-2559,Arjun Sharma,arjun.65@mail.com,9854215600,MCA,2024-08-04 23:00:00,Admitted,195836,102256,Pending
1560,STU-2560,Rahul Verma,rahul.18@mail.com,9188200904,MBA,2024-08-05 00:00:00,Waitlisted,177732,35662,Pending
1561,STU-2561,Rakesh Gupta,rakesh.98@mail.com,9390335445,MBA,2024-08-05 01:00:00,Admitted,186458,133970,Partially Paid
1562,STU-2562,Manish Das,manish.48@mail.com,9204339785,B.Tech,2024-08-05 02:00:00,Waitlisted,118254,131979,Paid
1563,STU-2563,Nisha Gupta,nisha.19@mail.com,9203005469,BCA,2024-08-05 03:00:00,Waitlisted,68016,167688,Partially Paid
1564,STU-2564,Sanjay Das,sanjay.41@mail.com,9593565439,MCA,2024-08-05 04:00:00,Waitlisted,78375,37650,Paid
1565,STU-2565,Vivek Verma,vivek.83@mail.com,9807223943,B.Tech,2024-08-05 05:00:00,Rejected,93368,15673,Partially Paid
1566,STU-2566,Manish Verma,manish.46@mail.com,9735419793,MCA,2024-08-05 06:00:00,Admitted,193820,118134,Paid
1567,STU-2567,Rahul Reddy,rahul.69@mail.com,9219923319,B.Tech,2024-08-05 07:00:00,Rejected,68500,26688,Pending
1568,STU-2568,Rohit Das,rohit.11@mail.com,9402683700,B.Tech,2024-08-05 08:00:00,Waitlisted,119712,175079,Partially Paid
1569,STU-2569,Rajesh Choudhary,rajesh.86@mail.com,9443718682,BBA,2024-08-05 09:00:00,Rejected,194148,161792,Pending
1570,STU-2570,Nisha Singh,nisha.99@mail.com,9785449496,MBA,2024-08-05 10:00:00,Waitlisted,182988,14787,Partially Paid
1571,STU-2571,Rajesh Choudhary,rajesh.31@mail.com,9291886823,MBA,2024-08-05 11:00:00,Admitted,149910,38734,Pending
1572,STU-2572,Sanjay Verma,sanjay.93@mail.com,9511663697,B.Tech,2024-08-05 12:00:00,Rejected,125847,134750,Paid
1573,STU-2573,Priya Choudhary,priya.36@mail.com,9912722377,B.Tech,2024-08-05 13:00:00,Admitted,96426,48205,Partially Paid
1574,STU-2574,Nisha Patel,nisha.13@mail.com,9458108279,MCA,2024-08-05 14:00:00,Admitted,111742,137301,Pending
1575,STU-2575,Deepa Choudhary,deepa.81@mail.com,9691152069,B.Tech,2024-08-05 15:00:00,Admitted,191758,155049,Pending
1576,STU-2576,Priya Reddy,priya.48@mail.com,9523345372,MBA,2024-08-05 16:00:00,Rejected,90618,28808,Partially Paid
1577,STU-2577,Emily Thomas,emily.20@mail.com,9190519716,B.Tech,2024-08-05 17:00:00,Admitted,137657,83318,Partially Paid
1578,STU-2578,Amit Gupta,amit.86@mail.com,9815766725,MCA,2024-08-05 18:00:00,Waitlisted,122486,91104,Pending
1579,STU-2579,Karthik Gupta,karthik.52@mail.com,9327417703,B.Tech,2024-08-05 19:00:00,Rejected,103282,111976,Partially Paid
1580,STU-2580,Manish Patel,manish.61@mail.com,9948212364,MBA,2024-08-05 20:00:00,Waitlisted,60699,109726,Partially Paid
1581,STU-2581,Rahul Sharma,rahul.43@mail.com,9394503091,BBA,2024-08-05 21:00:00,Admitted,116154,17891,Partially Paid
1582,STU-2582,Meena Choudhary,meena.48@mail.com,9760422784,B.Tech,2024-08-05 22:00:00,Admitted,151492,15493,Paid
1583,STU-2583,Rakesh Sharma,rakesh.10@mail.com,9685223741,BBA,2024-08-05 23:00:00,Rejected,177711,103118,Pending
1584,STU-2584,Anita Choudhary,anita.27@mail.com,9413175523,MCA,2024-08-06 00:00:00,Waitlisted,120012,163769,Paid
1585,STU-2585,Emily Anderson,emily.56@mail.com,9710041879,MCA,2024-08-06 01:00:00,Rejected,97692,87075,Partially Paid
1586,STU-2586,Priya Iyer,priya.55@mail.com,9496619396,BBA,2024-08-06 02:00:00,Waitlisted,91247,117473,Partially Paid
1587,STU-2587,Arjun Gupta,arjun.94@mail.com,9733854200,BBA,2024-08-06 03:00:00,Admitted,174966,95581,Paid
1588,STU-2588,Meena Choudhary,meena.97@mail.com,9770289306,BBA,2024-08-06 04:00:00,Waitlisted,158298,19686,Partially Paid
1589,STU-2589,David Jones,david.64@mail.com,9445097744,BBA,2024-08-06 05:00:00,Rejected,199117,54334,Paid
1590,STU-2590,Pooja Reddy,pooja.37@mail.com,9855654044,B.Tech,2024-08-06 06:00:00,Rejected,179564,74302,Partially Paid
1591,STU-2591,Priya Choudhary,priya.27@mail.com,9776426485,B.Tech,2024-08-06 07:00:00,Waitlisted,166902,175549,Partially Paid
1592,STU-2592,Pooja Iyer,pooja.14@mail.com,9705304506,B.Tech,2024-08-06 08:00:00,Rejected,172767,11799,Paid
1593,STU-2593,Sneha Verma,sneha.70@mail.com,9260488965,MCA,2024-08-06 09:00:00,Rejected,177683,109271,Paid
1594,STU-2594,Rakesh Sharma,rakesh.16@mail.com,9162398484,BBA,2024-08-06 10:00:00,Admitted,64403,62066,Paid
1595,STU-2595,Vivek Patel,vivek.47@mail.com,9596625734,MBA,2024-08-06 11:00:00,Admitted,117655,20446,Partially Paid
1596,STU-2596,Nisha Reddy,nisha.66@mail.com,9857741147,BCA,2024-08-06 12:00:00,Waitlisted,96180,17886,Paid
1597,STU-2597,Karthik Verma,karthik.48@mail.com,9521832259,BBA,2024-08-06 13:00:00,Rejected,109475,73817,Paid
1598,STU-2598,Priya Reddy,priya.32@mail.com,9503519182,BCA,2024-08-06 14:00:00,Admitted,120655,143149,Paid
1599,STU-2599,Nisha Das,nisha.52@mail.com,9103281778,B.Tech,2024-08-06 15:00:00,Rejected,69893,21189,Pending
1600,STU-2600,Rahul Verma,rahul.12@mail.com,9128261904,BCA,2024-08-06 16:00:00,Waitlisted,105886,154240,Pending
1601,STU-2601,Neha Verma,neha.72@mail.com,9461475187,B.Tech,2024-08-06 17:00:00,Waitlisted,125357,165214,Pending
1602,STU-2602,Amit Singh,amit.97@mail.com,9232610043,B.Tech,2024-08-06 18:00:00,Admitted,142167,131170,Pending
1603,STU-2603,Kiran Choudhary,kiran.87@mail.com,9508864806,BBA,2024-08-06 19:00:00,Rejected,95087,119982,Pending
1604,STU-2604,Divya Patel,divya.78@mail.com,9311672344,MBA,2024-08-06 20:00:00,Admitted,128918,158571,Partially Paid
1605,STU-2605,Kiran Gupta,kiran.26@mail.com,9533534730,BBA,2024-08-06 21:00:00,Admitted,100064,26573,Pending
1606,STU-2606,Sneha Das,sneha.78@mail.com,9508820107,BBA,2024-08-06 22:00:00,Waitlisted,148830,99911,Paid
1607,STU-2607,Michael Johnson,michael.56@mail.com,9791386123,BCA,2024-08-06 23:00:00,Admitted,168833,51865,Pending
1608,STU-2608,Karthik Nair,karthik.60@mail.com,9578161714,B.Tech,2024-08-07 00:00:00,Waitlisted,96257,83394,Partially Paid
1609,STU-2609,Amit Gupta,amit.56@mail.com,9692234700,BBA,2024-08-07 01:00:00,Rejected,163144,117112,Partially Paid
1610,STU-2610,Rajesh Choudhary,rajesh.12@mail.com,9310544186,MBA,2024-08-07 02:00:00,Waitlisted,124879,120535,Partially Paid
1611,STU-2611,Daniel Williams,daniel.48@mail.com,9300999166,MBA,2024-08-07 03:00:00,Waitlisted,141001,58689,Paid
1612,STU-2612,Daniel Williams,daniel.16@mail.com,9353428059,MBA,2024-08-07 04:00:00,Waitlisted,121140,15908,Partially Paid
1613,STU-2613,Rakesh Sharma,rakesh.89@mail.com,9428300020,MBA,2024-08-07 05:00:00,Admitted,196634,81414,Partially Paid
1614,STU-2614,Divya Choudhary,divya.13@mail.com,9143173430,BBA,2024-08-07 06:00:00,Waitlisted,143614,86785,Pending
1615,STU-2615,Rohit Choudhary,rohit.83@mail.com,9569869496,BCA,2024-08-07 07:00:00,Rejected,126781,97355,Partially Paid
1616,STU-2616,Arjun Choudhary,arjun.36@mail.com,9693508354,B.Tech,2024-08-07 08:00:00,Rejected,108166,128050,Partially Paid
1617,STU-2617,Kiran Choudhary,kiran.63@mail.com,9816347578,MCA,2024-08-07 09:00:00,Waitlisted,133712,159278,Pending
1618,STU-2618,Rahul Gupta,rahul.45@mail.com,9671846221,BCA,2024-08-07 10:00:00,Admitted,185448,135187,Partially Paid
1619,STU-2619,Meena Gupta,meena.46@mail.com,9858848345,BBA,2024-08-07 11:00:00,Rejected,157529,136564,Paid
1620,STU-2620,Rahul Sharma,rahul.16@mail.com,9779482786,BCA,2024-08-07 12:00:00,Admitted,107231,39571,Paid
1621,STU-2621,Karthik Patel,karthik.29@mail.com,9577764000,BCA,2024-08-07 13:00:00,Rejected,92870,124930,Pending
1622,STU-2622,Divya Choudhary,divya.90@mail.com,9767594530,BCA,2024-08-07 14:00:00,Rejected,192747,71486,Partially Paid
1623,STU-2623,Deepa Iyer,deepa.96@mail.com,9892450206,BCA,2024-08-07 15:00:00,Waitlisted,170365,142021,Partially Paid
1624,STU-2624,Karthik Sharma,karthik.74@mail.com,9870686938,BCA,2024-08-07 16:00:00,Rejected,79059,89940,Pending
1625,STU-2625,Anita Iyer,anita.83@mail.com,9967112244,MBA,2024-08-07 17:00:00,Admitted,130423,135518,Pending
1626,STU-2626,Nisha Gupta,nisha.52@mail.com,9221331867,MCA,2024-08-07 18:00:00,Admitted,153262,100798,Paid
1627,STU-2627,Meena Das,meena.61@mail.com,9103291281,BCA,2024-08-07 19:00:00,Rejected,187904,128636,Pending
1628,STU-2628,Neha Singh,neha.65@mail.com,9622582108,MBA,2024-08-07 20:00:00,Rejected,189509,49540,Pending
1629,STU-2629,Rakesh Gupta,rakesh.88@mail.com,9935260264,B.Tech,2024-08-07 21:00:00,Rejected,181790,30018,Partially Paid
1630,STU-2630,Manish Singh,manish.88@mail.com,9126477140,B.Tech,2024-08-07 22:00:00,Waitlisted,174972,46621,Paid
1631,STU-2631,Karthik Verma,karthik.62@mail.com,9227430689,BCA,2024-08-07 23:00:00,Rejected,122627,123266,Pending
1632,STU-2632,Sneha Singh,sneha.23@mail.com,9716130668,BBA,2024-08-08 00:00:00,Admitted,180058,135028,Partially Paid
1633,STU-2633,Sneha Verma,sneha.78@mail.com,9131062666,BCA,2024-08-08 01:00:00,Rejected,78410,38437,Partially Paid
1634,STU-2634,Sanjay Sharma,sanjay.55@mail.com,9497892351,MBA,2024-08-08 02:00:00,Admitted,143788,140266,Pending
1635,STU-2635,Arjun Iyer,arjun.83@mail.com,9844621931,BCA,2024-08-08 03:00:00,Rejected,181347,146076,Paid
1636,STU-2636,Sneha Singh,sneha.11@mail.com,9128397014,MCA,2024-08-08 04:00:00,Rejected,186177,14176,Pending
1637,STU-2637,Kiran Singh,kiran.44@mail.com,9643538483,MBA,2024-08-08 05:00:00,Admitted,199283,140319,Paid
1638,STU-2638,Nisha Singh,nisha.49@mail.com,9329377527,BCA,2024-08-08 06:00:00,Waitlisted,104801,101745,Paid
1639,STU-2639,Rakesh Iyer,rakesh.98@mail.com,9489458982,BBA,2024-08-08 07:00:00,Rejected,89926,34701,Pending
1640,STU-2640,Manish Sharma,manish.76@mail.com,9270495881,MCA,2024-08-08 08:00:00,Admitted,178954,128589,Pending
1641,STU-2641,Amit Patel,amit.99@mail.com,9516209140,BBA,2024-08-08 09:00:00,Admitted,156474,139486,Paid
1642,STU-2642,Meena Patel,meena.16@mail.com,9264312813,MCA,2024-08-08 10:00:00,Waitlisted,85254,67909,Pending
1643,STU-2643,Sneha Patel,sneha.27@mail.com,9931025573,MCA,2024-08-08 11:00:00,Admitted,166342,61431,Pending
1644,STU-2644,Sarah Moore,sarah.81@mail.com,9518807802,B.Tech,2024-08-08 12:00:00,Rejected,147228,108741,Paid
1645,STU-2645,Kiran Nair,kiran.11@mail.com,9139316648,B.Tech,2024-08-08 13:00:00,Waitlisted,74549,162478,Paid
1646,STU-2646,Sanjay Patel,sanjay.29@mail.com,9192180551,B.Tech,2024-08-08 14:00:00,Admitted,145204,112030,Paid
1647,STU-2647,Rohit Iyer,rohit.49@mail.com,9919773903,MBA,2024-08-08 15:00:00,Waitlisted,89103,144589,Partially Paid
1648,STU-2648,Sanjay Das,sanjay.74@mail.com,9120309956,MCA,2024-08-08 16:00:00,Waitlisted,190273,54255,Pending
1649,STU-2649,Neha Sharma,neha.38@mail.com,9572952276,B.Tech,2024-08-08 17:00:00,Admitted,151408,56200,Pending
1650,STU-2650,Arjun Nair,arjun.25@mail.com,9634513802,BCA,2024-08-08 18:00:00,Rejected,128013,117003,Pending
1651,STU-2651,Manish Nair,manish.70@mail.com,9756693932,BBA,2024-08-08 19:00:00,Waitlisted,93708,100435,Paid
1652,STU-2652,Kiran Singh,kiran.78@mail.com,9311295094,BCA,2024-08-08 20:00:00,Rejected,146989,146006,Paid
1653,STU-2653,Rakesh Patel,rakesh.64@mail.com,9394148090,MCA,2024-08-08 21:00:00,Waitlisted,193543,82360,Pending
1654,STU-2654,Anita Das,anita.18@mail.com,9987579813,MBA,2024-08-08 22:00:00,Waitlisted,150572,30554,Pending
1655,STU-2655,Karthik Nair,karthik.33@mail.com,9706878820,MBA,2024-08-08 23:00:00,Admitted,138512,80194,Paid
1656,STU-2656,David Johnson,david.36@mail.com,9365466978,MBA,2024-08-09 00:00:00,Waitlisted,70747,106320,Paid
1657,STU-2657,Amit Gupta,amit.37@mail.com,9785190412,BCA,2024-08-09 01:00:00,Admitted,170317,45145,Paid
1658,STU-2658,Nisha Patel,nisha.70@mail.com,9676567525,B.Tech,2024-08-09 02:00:00,Rejected,105920,14853,Partially Paid
1659,STU-2659,Manish Verma,manish.45@mail.com,9115246632,MCA,2024-08-09 03:00:00,Rejected,180115,156121,Pending
1660,STU-2660,Pooja Sharma,pooja.78@mail.com,9587379906,MCA,2024-08-09 04:00:00,Waitlisted,64618,137105,Pending
1661,STU-2661,Karthik Patel,karthik.76@mail.com,9885774576,MBA,2024-08-09 05:00:00,Rejected,102130,70486,Partially Paid
1662,STU-2662,Anita Gupta,anita.52@mail.com,9610073771,BCA,2024-08-09 06:00:00,Admitted,65934,22904,Partially Paid
1663,STU-2663,Meena Singh,meena.18@mail.com,9362975993,BBA,2024-08-09 07:00:00,Waitlisted,170068,137363,Partially Paid
1664,STU-2664,Manish Iyer,manish.24@mail.com,9878560021,BCA,2024-08-09 08:00:00,Admitted,182564,86272,Partially Paid
1665,STU-2665,Amit Singh,amit.59@mail.com,9202970820,MCA,2024-08-09 09:00:00,Waitlisted,155022,84910,Partially Paid
1666,STU-2666,Rahul Singh,rahul.21@mail.com,9770568194,MCA,2024-08-09 10:00:00,Waitlisted,62296,98184,Partially Paid
1667,STU-2667,Kiran Iyer,kiran.39@mail.com,9335877432,BBA,2024-08-09 11:00:00,Waitlisted,80608,43502,Paid
1668,STU-2668,Meena Verma,meena.85@mail.com,9199057843,BCA,2024-08-09 12:00:00,Rejected,197588,21311,Pending
1669,STU-2669,Rajesh Sharma,rajesh.25@mail.com,9919484174,BCA,2024-08-09 13:00:00,Rejected,134142,23375,Pending
1670,STU-2670,Sanjay Nair,sanjay.38@mail.com,9201024204,MCA,2024-08-09 14:00:00,Rejected,78162,156987,Pending
